"Date","Time","Open","High","Low","Close","Vol","OI"
01/23/1992,13:00,0.63,0.71,0.63,0.69,38368000,0
01/24/1992,13:00,0.69,0.73,0.67,0.70,12044800,0
01/27/1992,13:00,0.70,0.75,0.70,0.75,10716800,0
01/28/1992,13:00,0.75,0.76,0.71,0.73,19913600,0
01/29/1992,13:00,0.73,0.73,0.68,0.68,13238400,0
01/30/1992,13:00,0.68,0.70,0.61,0.61,10848000,0
01/31/1992,13:00,0.61,0.65,0.61,0.65,2496000,0
02/03/1992,13:00,0.65,0.66,0.63,0.64,2320000,0
02/04/1992,13:00,0.65,0.68,0.65,0.68,2499200,0
02/05/1992,13:00,0.68,0.68,0.66,0.66,1148800,0
02/06/1992,13:00,0.66,0.69,0.66,0.69,5504000,0
02/07/1992,13:00,0.69,0.69,0.65,0.65,4560000,0
02/10/1992,13:00,0.65,0.67,0.61,0.62,15196800,0
02/11/1992,13:00,0.62,0.62,0.56,0.56,9868800,0
02/12/1992,13:00,0.56,0.57,0.55,0.57,3942400,0
02/13/1992,13:00,0.57,0.57,0.54,0.55,3241600,0
02/14/1992,13:00,0.56,0.56,0.53,0.54,13753600,0
02/18/1992,13:00,0.55,0.55,0.48,0.49,3046400,0
02/19/1992,13:00,0.48,0.52,0.48,0.51,4284800,0
02/20/1992,13:00,0.56,0.60,0.55,0.57,4784000,0
02/21/1992,13:00,0.57,0.59,0.55,0.59,1865600,0
02/24/1992,13:00,0.59,0.64,0.59,0.60,3129600,0
02/25/1992,13:00,0.62,0.62,0.55,0.55,3129600,0
02/26/1992,13:00,0.54,0.56,0.54,0.55,1657600,0
02/27/1992,13:00,0.56,0.56,0.54,0.55,204800,0
02/28/1992,13:00,0.55,0.56,0.54,0.55,227200,0
03/02/1992,13:00,0.56,0.56,0.50,0.51,5177600,0
03/03/1992,13:00,0.52,0.54,0.50,0.54,531200,0
03/04/1992,13:00,0.54,0.56,0.52,0.55,464000,0
03/05/1992,13:00,0.54,0.56,0.53,0.53,454400,0
03/06/1992,13:00,0.52,0.55,0.50,0.52,1744000,0
03/09/1992,13:00,0.52,0.55,0.50,0.55,1078400,0
03/10/1992,13:00,0.53,0.61,0.53,0.59,1542400,0
03/11/1992,13:00,0.60,0.60,0.55,0.55,1020800,0
03/12/1992,13:00,0.54,0.54,0.52,0.54,5561600,0
03/13/1992,13:00,0.52,0.54,0.52,0.53,1744000,0
03/16/1992,13:00,0.55,0.55,0.52,0.52,835200,0
03/17/1992,13:00,0.52,0.55,0.52,0.52,396800,0
03/18/1992,13:00,0.55,0.55,0.52,0.53,630400,0
03/19/1992,13:00,0.57,0.60,0.54,0.60,3443200,0
03/20/1992,13:00,0.60,0.60,0.53,0.53,2876800,0
03/23/1992,13:00,0.55,0.55,0.52,0.54,608000,0
03/24/1992,13:00,0.56,0.58,0.52,0.53,2704000,0
03/25/1992,13:00,0.54,0.54,0.51,0.53,960000,0
03/26/1992,13:00,0.53,0.53,0.51,0.53,150400,0
03/27/1992,13:00,0.51,0.52,0.45,0.48,3897600,0
03/30/1992,13:00,0.47,0.51,0.47,0.51,3225600,0
03/31/1992,13:00,0.51,0.55,0.49,0.52,9430400,0
04/01/1992,13:00,0.50,0.52,0.48,0.49,3820800,0
04/02/1992,13:00,0.48,0.51,0.47,0.47,3200000,0
04/03/1992,13:00,0.45,0.48,0.45,0.48,6723200,0
04/06/1992,13:00,0.48,0.48,0.46,0.48,3872000,0
04/07/1992,13:00,0.47,0.48,0.41,0.41,2460800,0
04/08/1992,13:00,0.41,0.41,0.35,0.41,4124800,0
04/09/1992,13:00,0.43,0.44,0.40,0.43,1187200,0
04/10/1992,13:00,0.44,0.44,0.41,0.42,3033600,0
04/13/1992,13:00,0.42,0.42,0.39,0.39,483200,0
04/14/1992,13:00,0.42,0.42,0.39,0.39,534400,0
04/15/1992,13:00,0.42,0.42,0.39,0.39,1961600,0
04/16/1992,13:00,0.42,0.42,0.34,0.37,2217600,0
04/20/1992,13:00,0.37,0.37,0.33,0.34,3571200,0
04/21/1992,13:00,0.33,0.35,0.32,0.35,19568000,0
04/22/1992,13:00,0.34,0.38,0.34,0.34,3036800,0
04/23/1992,13:00,0.38,0.38,0.34,0.37,2550400,0
04/24/1992,13:00,0.34,0.37,0.34,0.37,790400,0
04/27/1992,13:00,0.37,0.38,0.34,0.35,4931200,0
04/28/1992,13:00,0.38,0.38,0.35,0.37,2198400,0
04/29/1992,13:00,0.38,0.38,0.36,0.36,1875200,0
04/30/1992,13:00,0.36,0.41,0.36,0.41,1107200,0
05/01/1992,13:00,0.41,0.42,0.39,0.39,1324800,0
05/04/1992,13:00,0.42,0.42,0.39,0.42,64000,0
05/05/1992,13:00,0.42,0.45,0.41,0.44,2246400,0
05/06/1992,13:00,0.45,0.48,0.45,0.45,4201600,0
05/07/1992,13:00,0.47,0.47,0.43,0.45,643200,0
05/08/1992,13:00,0.45,0.45,0.40,0.42,2067200,0
05/11/1992,13:00,0.43,0.43,0.43,0.43,44800,0
05/12/1992,13:00,0.41,0.41,0.38,0.40,896000,0
05/13/1992,13:00,0.41,0.41,0.38,0.38,256000,0
05/14/1992,13:00,0.38,0.38,0.34,0.34,1110400,0
05/15/1992,13:00,0.33,0.36,0.33,0.36,931200,0
05/18/1992,13:00,0.36,0.38,0.35,0.35,3686400,0
05/19/1992,13:00,0.37,0.37,0.35,0.35,972800,0
05/20/1992,13:00,0.37,0.38,0.35,0.38,2460800,0
05/21/1992,13:00,0.38,0.41,0.38,0.41,1446400,0
05/22/1992,13:00,0.39,0.41,0.38,0.41,278400,0
05/26/1992,13:00,0.38,0.38,0.36,0.38,646400,0
05/27/1992,13:00,0.36,0.38,0.36,0.38,457600,0
05/28/1992,13:00,0.36,0.38,0.36,0.38,1276800,0
05/29/1992,13:00,0.38,0.38,0.36,0.38,560000,0
06/01/1992,13:00,0.36,0.36,0.36,0.36,3200,0
06/02/1992,13:00,0.36,0.38,0.36,0.38,2166400,0
06/03/1992,13:00,0.36,0.38,0.36,0.38,76800,0
06/04/1992,13:00,0.38,0.38,0.38,0.38,3200,0
06/05/1992,13:00,0.38,0.38,0.38,0.38,3200,0
06/08/1992,13:00,0.36,0.38,0.36,0.38,2156800,0
06/09/1992,13:00,0.38,0.38,0.36,0.36,76800,0
06/10/1992,13:00,0.38,0.38,0.36,0.36,118400,0
