"Date","Time","Open","High","Low","Close","Up","Down"
02/23/2010,05:15,351.99,352.26,351.20,352.12,126,224
02/23/2010,06:15,352.12,352.12,350.80,350.93,73,164
02/23/2010,07:15,350.80,350.93,349.07,349.47,175,660
02/23/2010,08:15,349.60,350.00,348.54,349.74,167,262
02/23/2010,09:15,349.47,351.99,349.07,350.93,456,412
02/23/2010,10:15,350.93,351.99,350.93,351.20,390,563
02/23/2010,11:15,351.06,351.33,349.47,349.60,374,645
02/23/2010,12:15,349.47,351.59,349.47,350.53,403,389
02/23/2010,13:15,350.27,352.39,350.00,351.33,420,248
02/23/2010,13:30,351.33,351.46,350.53,350.80,110,82
02/24/2010,05:15,350.53,351.46,350.53,351.33,42,29
02/24/2010,06:15,351.33,351.46,351.06,351.46,38,87
02/24/2010,07:15,351.46,351.73,350.93,351.06,36,34
02/24/2010,08:15,351.06,351.73,350.93,351.46,88,106
02/24/2010,09:15,351.73,352.26,350.13,350.80,269,360
02/24/2010,10:15,350.93,353.85,349.87,352.66,678,459
02/24/2010,11:15,352.66,353.32,350.80,351.99,580,452
02/24/2010,12:15,351.99,352.79,351.33,352.26,171,201
02/24/2010,13:15,352.52,352.52,351.20,352.12,136,142
02/24/2010,13:30,351.86,352.92,351.73,352.52,231,206
02/25/2010,05:15,349.87,350.27,349.87,350.27,57,27
02/25/2010,06:15,350.27,350.27,350.13,350.13,27,61
02/25/2010,07:15,350.13,350.27,349.47,349.60,41,126
02/25/2010,08:15,349.34,349.47,345.36,347.21,467,1444
02/25/2010,09:15,347.08,347.08,340.45,343.36,1805,3903
02/25/2010,10:15,343.23,344.29,342.83,343.63,478,587
02/25/2010,11:15,343.63,344.56,343.36,344.03,458,502
02/25/2010,12:15,344.03,344.16,341.91,343.10,340,848
02/25/2010,13:15,343.36,344.96,343.36,343.90,441,351
02/25/2010,13:30,343.50,344.96,343.23,344.29,185,116
02/26/2010,05:15,348.28,349.47,348.01,348.54,136,164
02/26/2010,06:15,348.67,349.34,348.28,348.54,50,29
02/26/2010,07:15,348.81,349.07,347.21,347.21,31,94
02/26/2010,08:15,347.35,347.61,346.42,347.08,200,233
02/26/2010,09:15,346.82,350.93,346.68,349.47,918,620
02/26/2010,10:15,349.34,349.74,346.95,347.35,518,613
02/26/2010,11:15,347.48,348.41,346.82,347.21,391,459
02/26/2010,12:15,347.35,347.75,344.96,345.62,349,628
02/26/2010,13:15,345.62,348.28,345.49,347.48,341,229
02/26/2010,13:30,347.48,348.54,347.48,348.01,363,267
03/01/2010,05:15,349.74,349.74,348.01,348.01,7,56
03/01/2010,06:15,348.01,348.54,347.75,348.01,23,49
03/01/2010,07:15,348.01,349.60,345.75,346.28,47,151
03/01/2010,08:15,346.02,347.08,345.62,347.08,213,169
03/01/2010,09:15,346.95,353.19,346.42,352.79,1371,924
03/01/2010,10:15,352.92,352.92,350.13,351.20,428,696
03/01/2010,11:15,351.06,351.73,349.07,349.74,375,510
03/01/2010,12:15,349.74,350.00,348.54,349.07,189,357
03/01/2010,13:15,349.07,349.74,348.81,349.60,228,181
03/01/2010,13:30,349.60,349.87,348.54,349.07,147,138
03/02/2010,05:15,348.81,349.87,348.41,349.87,34,47
03/02/2010,06:15,349.74,351.33,349.34,350.66,62,19
03/02/2010,07:15,350.53,351.20,350.27,350.93,21,18
03/02/2010,08:15,351.33,352.52,350.53,350.80,178,188
03/02/2010,09:15,350.80,352.66,350.53,351.59,314,251
03/02/2010,10:15,351.46,351.99,349.20,349.47,264,608
03/02/2010,11:15,349.47,351.06,347.21,350.53,665,703
03/02/2010,12:15,350.66,351.06,349.60,350.27,262,239
03/02/2010,13:15,350.27,350.93,349.47,350.80,215,236
03/02/2010,13:30,350.93,351.59,350.80,351.06,237,163
03/03/2010,05:15,351.06,351.59,350.80,351.06,81,16
03/03/2010,06:15,350.66,351.06,350.13,350.80,19,31
03/03/2010,07:15,350.80,350.80,349.87,350.13,59,45
03/03/2010,08:15,350.40,350.66,349.20,350.13,114,154
03/03/2010,09:15,350.13,352.26,350.00,351.33,430,171
03/03/2010,10:15,351.46,351.99,345.75,348.14,650,952
03/03/2010,11:15,348.01,350.00,347.21,349.47,850,547
03/03/2010,12:15,349.60,351.59,349.60,351.33,613,400
03/03/2010,13:15,351.20,351.59,350.53,350.53,148,152
03/03/2010,13:30,350.53,350.80,350.13,350.13,73,98
03/04/2010,05:15,349.34,350.13,349.07,349.60,48,31
03/04/2010,06:15,349.47,350.13,349.20,350.13,29,8
03/04/2010,07:15,350.13,350.13,347.35,348.41,115,231
03/04/2010,08:15,348.81,350.80,348.41,350.40,262,174
03/04/2010,09:15,350.66,350.80,346.82,347.75,379,611
03/04/2010,10:15,347.48,347.48,342.17,343.36,1118,2633
03/04/2010,11:15,343.50,345.09,341.64,343.90,1167,1084
03/04/2010,12:15,343.63,346.15,343.36,344.56,572,639
03/04/2010,13:15,344.69,346.02,344.43,345.62,305,252
03/04/2010,13:30,345.75,346.02,345.22,345.89,84,173
03/05/2010,05:15,347.61,348.41,347.48,348.01,48,37
03/05/2010,06:15,348.01,348.14,347.35,347.88,17,38
03/05/2010,07:15,347.88,348.14,347.08,347.08,37,49
03/05/2010,08:15,347.08,347.61,345.89,346.28,129,118
03/05/2010,09:15,346.02,346.68,345.09,346.28,444,540
03/05/2010,10:15,346.15,347.48,345.49,346.95,419,375
03/05/2010,11:15,346.82,347.61,345.09,346.15,262,333
03/05/2010,12:15,346.02,346.55,345.36,346.02,128,205
03/05/2010,13:15,346.02,346.28,345.22,346.02,167,175
03/05/2010,13:30,346.15,346.55,345.89,346.15,136,71
