"Date","Time","Open","High","Low","Close","Up","Down"
04/02/2012,09:00,13.93,13.97,13.88,13.93,0,0
04/02/2012,10:00,13.93,14.06,13.93,14.05,0,0
04/02/2012,11:00,14.05,14.18,14.03,14.18,0,0
04/02/2012,12:00,14.18,14.23,14.18,14.21,0,0
04/02/2012,13:00,14.21,14.22,14.20,14.22,0,0
04/02/2012,14:00,14.22,14.24,14.19,14.24,0,0
04/02/2012,15:00,14.24,14.25,14.14,14.17,0,0
04/03/2012,09:00,14.13,14.16,14.09,14.12,0,0
04/03/2012,10:00,14.13,14.18,14.08,14.16,0,0
04/03/2012,11:00,14.16,14.16,14.05,14.08,0,0
04/03/2012,12:00,14.07,14.08,14.01,14.06,0,0
04/03/2012,13:00,14.06,14.09,14.04,14.08,0,0
04/03/2012,14:00,14.08,14.08,13.89,13.94,0,0
04/03/2012,15:00,13.95,14.07,13.94,14.06,0,0
04/04/2012,09:00,13.84,13.87,13.81,13.86,0,0
04/04/2012,10:00,13.86,13.86,13.69,13.69,0,0
04/04/2012,11:00,13.69,13.78,13.69,13.75,0,0
04/04/2012,12:00,13.75,13.78,13.73,13.74,0,0
04/04/2012,13:00,13.74,13.76,13.68,13.76,0,0
04/04/2012,14:00,13.76,13.81,13.72,13.79,0,0
04/04/2012,15:00,13.79,13.83,13.77,13.78,0,0
04/05/2012,09:00,13.69,13.77,13.66,13.74,0,0
04/05/2012,10:00,13.74,13.83,13.74,13.83,0,0
04/05/2012,11:00,13.83,13.84,13.77,13.80,0,0
04/05/2012,12:00,13.80,13.81,13.76,13.77,0,0
04/05/2012,13:00,13.78,13.79,13.70,13.73,0,0
04/05/2012,14:00,13.72,13.77,13.72,13.76,0,0
04/05/2012,15:00,13.76,13.79,13.74,13.76,0,0
04/09/2012,09:00,13.41,13.46,13.38,13.40,0,0
04/09/2012,10:00,13.40,13.48,13.40,13.46,0,0
04/09/2012,11:00,13.46,13.46,13.40,13.44,0,0
04/09/2012,12:00,13.44,13.51,13.43,13.50,0,0
04/09/2012,13:00,13.50,13.53,13.46,13.53,0,0
04/09/2012,14:00,13.53,13.56,13.50,13.54,0,0
04/09/2012,15:00,13.54,13.56,13.45,13.45,0,0
04/10/2012,09:00,13.40,13.48,13.38,13.44,0,0
