"Date","Time","Open","High","Low","Close","Vol","OI"
04/02/2012,00:00,13.93,14.25,13.88,14.16,0,0
04/03/2012,00:00,14.13,14.18,13.89,14.06,0,0
04/04/2012,00:00,13.84,13.87,13.68,13.76,0,0
04/05/2012,00:00,13.69,13.84,13.66,13.76,0,0
04/09/2012,00:00,13.41,13.56,13.38,13.46,0,0
04/10/2012,00:00,13.40,13.48,12.97,12.99,0,0
04/11/2012,00:00,13.26,13.31,13.16,13.18,0,0
04/12/2012,00:00,13.23,13.57,13.22,13.56,0,0
04/13/2012,00:00,13.49,13.50,13.21,13.22,0,0
04/16/2012,00:00,13.36,13.40,13.13,13.20,0,0
04/17/2012,00:00,13.37,13.66,13.34,13.60,0,0
04/18/2012,00:00,13.48,13.60,13.46,13.51,0,0
04/19/2012,00:00,13.51,13.62,13.21,13.35,0,0
04/20/2012,00:00,13.45,13.55,13.37,13.38,0,0
04/23/2012,00:00,13.10,13.18,12.99,13.15,0,0
04/24/2012,00:00,13.18,13.32,13.16,13.25,0,0
04/25/2012,00:00,13.51,13.63,13.49,13.63,0,0
04/26/2012,00:00,13.56,13.84,13.54,13.81,0,0
04/27/2012,00:00,13.89,13.93,13.74,13.86,0,0
04/30/2012,00:00,13.79,13.82,13.67,13.73,0,0
05/01/2012,00:00,13.74,14.10,13.70,13.91,0,0
05/02/2012,00:00,13.75,13.86,13.66,13.83,0,0
05/03/2012,00:00,13.84,13.86,13.57,13.62,0,0
05/04/2012,00:00,13.47,13.50,13.17,13.18,0,0
05/07/2012,00:00,13.09,13.29,13.08,13.19,0,0
05/08/2012,00:00,13.04,13.13,12.78,13.09,0,0
05/09/2012,00:00,12.82,13.10,12.70,12.93,0,0
05/10/2012,00:00,13.13,13.15,12.93,12.98,0,0
05/11/2012,00:00,12.82,13.15,12.82,12.91,0,0
05/14/2012,00:00,12.66,12.80,12.59,12.62,0,0
05/15/2012,00:00,12.61,12.75,12.44,12.49,0,0
05/16/2012,00:00,12.60,12.70,12.38,12.39,0,0
05/17/2012,00:00,12.39,12.42,12.00,12.01,0,0
05/18/2012,00:00,12.11,12.15,11.77,11.80,0,0
05/21/2012,00:00,11.88,12.22,11.84,12.21,0,0
05/22/2012,00:00,12.28,12.45,12.10,12.25,0,0
05/23/2012,00:00,12.08,12.30,11.85,12.27,0,0
05/24/2012,00:00,12.34,12.37,12.11,12.32,0,0
05/25/2012,00:00,12.30,12.37,12.18,12.23,0,0
05/29/2012,00:00,12.44,12.57,12.35,12.53,0,0
05/30/2012,00:00,12.32,12.33,12.11,12.16,0,0
05/31/2012,00:00,12.15,12.29,11.90,12.17,0,0
06/01/2012,00:00,11.73,11.81,11.50,11.50,0,0
06/04/2012,00:00,11.54,11.60,11.32,11.50,0,0
06/05/2012,00:00,11.44,11.69,11.43,11.65,0,0
