"Date","Time","Open","High","Low","Close","Up","Down"
04/25/2025,12:00,51.77,52.77,51.49,52.52,9136553,9091577
04/25/2025,13:30,52.53,54.07,52.41,54.02,9293851,8670327
04/25/2025,15:00,54.01,54.04,52.60,53.62,10294009,11388372
04/25/2025,16:00,53.62,53.99,53.18,53.87,5963116,5723687
04/28/2025,10:30,53.96,54.64,53.07,53.54,11335531,11806946
04/28/2025,12:00,53.54,53.94,52.06,52.36,10830408,10970384
04/28/2025,13:30,52.35,52.44,51.64,51.76,5890848,6614737
04/28/2025,15:00,51.77,53.13,51.69,53.04,6957659,6065053
04/28/2025,16:00,53.04,54.27,52.99,53.83,6884376,6653725
04/29/2025,10:30,53.21,54.46,52.64,53.60,10138685,10503129
04/29/2025,12:00,53.59,54.57,53.56,53.95,7943161,8082113
04/29/2025,13:30,53.95,54.49,53.40,54.11,6091476,6565736
04/29/2025,15:00,54.11,55.17,54.08,54.84,7176363,6814101
04/29/2025,16:00,54.83,55.12,54.58,54.83,5118383,5209422
04/30/2025,10:30,51.86,52.08,50.32,52.04,14836227,15637284
04/30/2025,12:00,52.04,53.24,51.75,53.14,13769967,13333311
04/30/2025,13:30,53.13,53.39,52.26,53.26,8956376,8880537
04/30/2025,15:00,53.25,54.30,53.17,53.40,9517346,9132738
04/30/2025,16:00,53.41,55.42,53.36,55.08,8302252,7445735
05/01/2025,10:30,57.43,57.87,56.70,57.82,12443882,12164755
05/01/2025,12:00,57.82,58.89,57.27,57.51,11615882,11280999
05/01/2025,13:30,57.50,58.07,57.08,57.83,7089038,7544451
05/01/2025,15:00,57.83,58.23,57.34,57.91,5792363,5424543
05/01/2025,16:00,57.91,58.01,56.63,56.73,5360323,5756390
05/02/2025,10:30,58.70,59.40,58.03,59.39,13379895,13108235
05/02/2025,12:00,59.39,59.59,58.90,59.52,9115812,8390016
05/02/2025,13:30,59.52,60.11,59.48,59.64,8617016,8166058
05/02/2025,15:00,59.63,60.19,59.54,59.72,5430998,4884496
05/02/2025,16:00,59.72,59.85,59.15,59.43,5926229,6867100
05/05/2025,10:30,57.84,58.80,57.70,58.36,9538839,9450887
05/05/2025,12:00,58.35,58.91,57.91,58.73,7285318,6949110
05/05/2025,13:30,58.72,59.12,58.66,58.99,4511614,3832255
05/05/2025,15:00,58.98,59.50,58.95,59.15,4092020,4386331
05/05/2025,16:00,59.15,59.18,58.21,58.38,4876378,5368812
05/06/2025,10:30,56.44,57.04,55.57,56.95,10715507,10445137
05/06/2025,12:00,56.94,57.41,56.79,56.92,6803059,6603994
05/06/2025,13:30,56.92,58.04,56.61,56.81,7594049,8182934
05/06/2025,15:00,56.81,57.42,56.41,57.42,4673666,4560079
05/06/2025,16:00,57.41,57.58,56.71,56.74,4139284,4390468
05/07/2025,10:30,57.26,57.64,56.63,57.59,8762067,8217703
05/07/2025,12:00,57.59,57.63,56.02,56.52,8727732,9805718
05/07/2025,13:30,56.51,57.16,56.17,56.96,4686305,5076730
05/07/2025,15:00,56.95,57.01,55.09,56.83,11635896,12162951
