"Date","Time","Open","High","Low","Close","Vol","OI"
02/02/2007,13:30,305.05,305.40,303.60,303.65,9795,61300
02/05/2007,13:30,303.80,304.15,301.90,302.30,9849,60455
02/06/2007,13:30,302.80,303.20,302.05,302.20,10088,58510
02/07/2007,13:30,302.00,303.70,302.00,302.65,16192,53785
02/08/2007,13:30,302.80,302.95,301.20,301.40,12610,49663
02/09/2007,13:30,301.80,302.50,300.35,300.70,11995,57005
02/12/2007,13:30,301.30,301.30,299.30,299.30,13693,61840
02/13/2007,13:30,299.00,300.00,298.45,299.20,18111,67235
02/14/2007,13:30,299.20,300.35,299.00,299.70,13646,71092
02/15/2007,13:30,299.65,300.80,299.50,300.00,14357,76311
02/16/2007,13:30,299.90,300.10,298.40,298.50,22342,81565
02/20/2007,13:30,298.65,299.30,297.90,298.05,11236,81821
02/21/2007,13:30,297.90,300.20,297.10,299.30,16753,84597
02/22/2007,13:30,299.50,303.50,299.40,302.85,21273,85521
02/23/2007,13:30,303.05,303.75,302.10,302.25,10654,85999
02/26/2007,13:30,302.70,302.90,301.05,301.70,9262,85744
02/27/2007,13:30,301.60,302.00,300.20,300.40,9759,85453
02/28/2007,13:30,300.30,301.80,300.00,301.00,10917,85740
03/01/2007,13:30,300.80,301.60,297.80,299.30,16600,86319
03/02/2007,13:30,299.05,299.55,297.80,298.10,8810,85465
03/05/2007,13:30,297.80,297.90,294.30,294.80,23150,86022
03/06/2007,13:30,294.80,296.50,294.40,295.60,13801,84530
03/07/2007,13:30,295.75,295.90,294.00,294.75,11095,84131
03/08/2007,13:30,295.10,296.05,294.40,295.20,11039,83332
03/09/2007,13:30,295.20,295.60,294.35,295.05,9648,84773
03/12/2007,13:30,295.30,295.55,293.85,294.80,8421,84136
03/13/2007,13:30,294.90,296.30,293.30,293.45,11417,84053
03/14/2007,13:30,293.30,293.50,292.40,292.65,11348,83894
03/15/2007,13:30,293.20,293.85,292.65,293.20,9496,84465
03/16/2007,13:30,293.35,293.60,292.35,293.10,8388,83673
03/19/2007,13:30,293.30,293.90,292.00,292.90,8086,83721
03/20/2007,13:30,293.05,293.50,291.65,292.05,10153,84281
03/21/2007,13:30,292.20,295.70,291.70,294.60,15750,84422
03/22/2007,13:30,295.05,295.20,293.90,294.80,9355,84671
03/23/2007,13:30,295.05,296.95,295.00,296.30,11189,84344
03/26/2007,13:30,296.70,297.65,295.60,297.15,9719,84187
03/27/2007,13:30,296.80,297.25,294.90,295.05,9415,84097
03/28/2007,13:30,295.00,295.75,294.80,295.25,6373,83608
03/29/2007,13:30,295.35,295.70,292.65,292.75,11336,81124
03/30/2007,13:30,293.00,293.30,291.20,292.25,16975,80117
04/02/2007,13:30,292.05,294.30,291.40,291.60,14063,77019
04/03/2007,13:30,291.55,294.20,291.40,293.75,14046,74688
04/04/2007,13:30,293.55,294.40,292.90,293.40,8378,70949
04/05/2007,13:30,293.55,294.40,292.95,293.80,5999,68357
04/09/2007,13:30,293.80,294.20,291.85,292.25,8952,46185
04/10/2007,13:30,292.45,292.75,291.85,291.85,11792,52653
04/11/2007,13:30,291.75,292.65,291.75,292.20,8979,58067
04/12/2007,13:30,292.20,295.60,292.20,295.35,15169,64906
04/13/2007,13:30,295.55,296.90,294.35,294.45,12658,70363
04/16/2007,13:30,294.25,294.75,290.95,291.00,22834,76610
04/17/2007,13:30,291.45,292.35,290.95,291.95,13286,80710
04/18/2007,13:30,292.05,293.65,291.30,291.75,16369,84123
04/19/2007,13:30,291.75,292.40,291.15,291.20,19530,88403
04/20/2007,13:30,291.55,292.10,290.30,291.35,9796,89723
04/23/2007,13:30,291.10,291.40,288.95,289.35,12427,91648
04/24/2007,13:30,289.45,289.75,286.90,287.10,16063,91979
04/25/2007,13:30,287.40,287.80,286.65,286.65,7745,92641
04/26/2007,13:30,286.90,287.25,286.20,286.45,9731,92431
04/27/2007,13:30,286.60,287.75,285.70,286.95,11472,91753
04/30/2007,13:30,286.85,287.15,285.60,285.65,10295,92464
05/01/2007,13:30,286.00,286.45,283.15,284.80,20785,92672
05/02/2007,13:30,284.70,285.65,284.15,284.20,6239,93889
05/03/2007,13:30,284.35,285.30,283.95,284.65,7086,94506
05/04/2007,13:30,284.95,286.60,284.55,286.45,8795,93668
05/07/2007,13:30,286.25,286.90,284.30,284.80,8253,93889
05/08/2007,13:30,284.85,286.90,284.75,284.95,9279,93721
05/09/2007,13:30,285.05,286.75,284.95,286.15,9333,93505
05/10/2007,13:30,286.40,286.65,285.45,286.45,8956,93918
05/11/2007,13:30,286.40,286.65,284.85,285.75,7488,93001
05/14/2007,13:30,285.80,288.55,285.80,286.70,11238,93097
05/15/2007,13:30,286.75,288.10,286.60,287.10,8740,92452
05/16/2007,13:30,286.95,290.00,286.90,289.85,15564,91230
05/17/2007,13:30,289.85,293.20,289.60,292.75,21245,87880
